team1,team2,innings1_overs,innings1_wickets,innings1_runs,innings2_overs,innings2_wickets,innings2_runs,year
NEW ZEALAND,PAKISTAN,38.3,10,187,33.3,10,165,1973
ENGLAND,PAKISTAN,50,4,244,42.5,3,246,1974
ENGLAND,PAKISTAN,35,9,81,18,2,84,1974
AUSTRALIA,PAKISTAN,60,7,278,53,10,205,1975
PAKISTAN,SRI LANKA,60,6,330,50.1,10,138,1975
PAKISTAN,WEST INDIES,60,7,266,59.4,9,267,1975
NEW ZEALAND,PAKISTAN,35,8,198,35,9,197,1976
PAKISTAN,WEST INDIES,45,7,176,43.2,6,182,1977
PAKISTAN,ENGLAND,33.7,10,151,32.7,4,152,1977
PAKISTAN,ENGLAND,35,6,208,35,7,212,1977
ENGLAND,PAKISTAN,55,6,248,55,8,154,1978
ENGLAND,PAKISTAN,55,7,217,47,10,85,1978
INDIA,PAKISTAN,40,7,170,40,8,166,1978
INDIA,PAKISTAN,34.2,10,79,16.5,2,83,1978
PAKISTAN,ENGLAND,35,6,158,31.6,10,122,1978
PAKISTAN,INDIA,40,7,205,37.4,2,183,1978
CANADA,PAKISTAN,60,9,139,40.1,2,140,1979
ENGLAND,PAKISTAN,60,9,165,56,10,151,1979
WEST INDIES,PAKISTAN,60,6,293,56.2,10,250,1979
PAKISTAN,AUSTRALIA,60,7,286,57.1,10,197,1979
WEST INDIES,PAKISTAN,40,8,170,40,6,163,1980
PAKISTAN,WEST INDIES,40,4,200,35.3,3,201,1980
PAKISTAN,WEST INDIES,40,9,127,40,6,128,1980
AUSTRALIA,PAKISTAN,48.3,10,208,50,8,170,1981
AUSTRALIA,PAKISTAN,50,6,222,43.2,4,223,1981
AUSTRALIA,PAKISTAN,50,9,209,49.2,6,210,1981
WEST INDIES,PAKISTAN,50,8,245,50,6,227,1981
PAKISTAN,WEST INDIES,49,10,140,38.5,10,132,1981
PAKISTAN,WEST INDIES,44.4,9,160,42.2,3,161,1981
AUSTRALIA,PAKISTAN,50,5,230,40.3,9,154,1982
ENGLAND,PAKISTAN,55,8,295,49.4,10,222,1982
SRI LANKA,PAKISTAN,38.3,10,218,38.1,5,222,1982
SRI LANKA,PAKISTAN,33,3,171,29.2,2,174,1982
PAKISTAN,INDIA,40,4,224,40,6,210,1982
PAKISTAN,ENGLAND,55,6,250,47.1,3,252,1982
PAKISTAN,WEST INDIES,50,7,191,42.1,3,192,1982
PAKISTAN,SRI LANKA,40,4,239,33,4,227,1982
PAKISTAN,AUSTRALIA,50,6,218,49,10,193,1982
PAKISTAN,WEST INDIES,50,9,177,28.5,9,107,1982
PAKISTAN,AUSTRALIA,40,6,229,40,9,170,1982
PAKISTAN,INDIA,40,2,263,40,7,226,1982
PAKISTAN,AUSTRALIA,40,3,234,40,4,206,1982
PAKISTAN,INDIA,33,3,252,27,4,193,1982
INDIA,PAKISTAN,40,6,197,35,2,198,1983
NEW ZEALAND,PAKISTAN,60,9,238,55.2,10,186,1983
PAKISTAN,WEST INDIES,60,8,184,48.4,2,188,1983
PAKISTAN,NEW ZEALAND,60,3,261,59.1,10,250,1983
PAKISTAN,INDIA,46,9,166,40.4,6,169,1983
PAKISTAN,SRI LANKA,60,7,235,58.3,10,224,1983
PAKISTAN,INDIA,46,8,151,43,6,152,1983
PAKISTAN,ENGLAND,60,8,232,57.2,3,233,1983
PAKISTAN,ENGLAND,60,8,193,50.4,2,199,1983
PAKISTAN,SRI LANKA,60,5,338,60,9,288,1983
AUSTRALIA,PAKISTAN,50,8,209,45,10,166,1984
AUSTRALIA,PAKISTAN,50,8,244,47.2,10,157,1984
AUSTRALIA,PAKISTAN,50,8,210,45.2,10,140,1984
AUSTRALIA,PAKISTAN,50,8,264,50,9,230,1984
ENGLAND,PAKISTAN,40,8,184,38.4,4,187,1984
INDIA,PAKISTAN,46,4,188,39.4,10,134,1984
NEW ZEALAND,PAKISTAN,35,8,213,35,9,214,1984
NEW ZEALAND,PAKISTAN,36,9,187,36,8,153,1984
PAKISTAN,AUSTRALIA,42,6,184,3.5,0,15,1984
PAKISTAN,WEST INDIES,50,9,174,40.2,5,175,1984
PAKISTAN,WEST INDIES,50,8,177,49.1,9,180,1984
PAKISTAN,WEST INDIES,50,7,182,45,3,183,1984
PAKISTAN,INDIA,40,7,199,37.1,10,153,1984
PAKISTAN,SRI LANKA,46,9,187,43.3,5,190,1984
PAKISTAN,NEW ZEALAND,39,5,191,36.2,10,145,1984
PAKISTAN,WEST INDIES,50,8,184,48.3,5,185,1984
PAKISTAN,WEST INDIES,50,8,208,41.4,10,111,1984
PAKISTAN,ENGLAND,40,8,163,38.4,4,164,1984
PAKISTAN,NEW ZEALAND,20,5,157,20,7,152,1984
INDIA,PAKISTAN,42.4,10,125,32.5,10,87,1985
NEW ZEALAND,PAKISTAN,50,8,264,49.4,10,251,1985
NEW ZEALAND,PAKISTAN,50,6,277,50,9,167,1985
SRI LANKA,PAKISTAN,38,7,228,36.3,5,231,1985
SRI LANKA,PAKISTAN,39.2,10,145,32.5,2,147,1985
WEST INDIES,PAKISTAN,40,5,201,39.3,10,161,1985
WEST INDIES,PAKISTAN,44.3,10,159,46,3,160,1985
WEST INDIES,PAKISTAN,40,8,199,39.1,5,203,1985
WEST INDIES,PAKISTAN,36.2,10,173,38.3,4,175,1985
PAKISTAN,NEW ZEALAND,50,4,221,48.5,6,222,1985
PAKISTAN,AUSTRALIA,50,6,262,42.3,10,200,1985
PAKISTAN,ENGLAND,50,7,175,48.2,10,132,1985
PAKISTAN,INDIA,45,4,203,40.4,10,155,1985
PAKISTAN,INDIA,49.2,10,183,45.5,4,184,1985
PAKISTAN,WEST INDIES,45,4,196,44.1,3,199,1985
PAKISTAN,WEST INDIES,38,7,127,34.1,2,128,1985
PAKISTAN,INDIA,50,9,176,47.1,2,177,1985
PAKISTAN,WEST INDIES,40,5,218,35.3,2,224,1985
PAKISTAN,ENGLAND,50,8,213,24.2,10,146,1985
PAKISTAN,SRI LANKA,40,5,224,40,7,209,1985
AUSTRALIA,PAKISTAN,50,7,202,49.1,2,206,1986
BANGLADESH,PAKISTAN,35.3,10,94,32.1,3,98,1986
INDIA,PAKISTAN,50,7,245,50,9,248,1986
INDIA,PAKISTAN,40.2,10,144,43.3,7,145,1986
NEW ZEALAND,PAKISTAN,42,8,214,40.4,6,217,1986
NEW ZEALAND,PAKISTAN,35.5,10,64,22.4,0,66,1986
SRI LANKA,PAKISTAN,38,8,160,23,2,103,1986
SRI LANKA,PAKISTAN,23,6,124,21.3,2,125,1986
SRI LANKA,PAKISTAN,45,7,164,44,6,165,1986
WEST INDIES,PAKISTAN,50,7,196,43.5,6,155,1986
WEST INDIES,PAKISTAN,44,5,202,38.2,10,113,1986
PAKISTAN,WEST INDIES,50,8,199,46.2,10,165,1986
PAKISTAN,WEST INDIES,43.4,10,143,33.2,1,145,1986
PAKISTAN,WEST INDIES,45,7,148,44.3,6,151,1986
PAKISTAN,SRI LANKA,45,9,191,42.2,5,195,1986
PAKISTAN,WEST INDIES,45,6,202,45,7,191,1986
PAKISTAN,SRI LANKA,45,10,197,33.5,10,116,1986
PAKISTAN,WEST INDIES,49,7,164,45.3,6,165,1986
AUSTRALIA,PAKISTAN,50,8,267,49,10,249,1987
AUSTRALIA,PAKISTAN,50,9,176,46.4,4,180,1987
AUSTRALIA,PAKISTAN,50,6,273,49.5,9,274,1987
ENGLAND,PAKISTAN,51.1,10,157,52,4,158,1987
ENGLAND,PAKISTAN,50,9,244,49,3,247,1987
ENGLAND,PAKISTAN,45,8,236,31.5,9,138,1987
ENGLAND,PAKISTAN,44,6,263,44,8,240,1987
INDIA,PAKISTAN,50,8,183,41.4,2,184,1987
INDIA,PAKISTAN,40,6,238,39.3,8,241,1987
INDIA,PAKISTAN,44,3,265,43.2,5,266,1987
INDIA,PAKISTAN,44,6,212,44,7,212,1987
INDIA,PAKISTAN,42,9,120,37.2,4,121,1987
INDIA,PAKISTAN,45,7,196,44,7,200,1987
WEST INDIES,PAKISTAN,50,7,258,50,9,230,1987
WEST INDIES,PAKISTAN,49.3,10,216,50,9,217,1987
PAKISTAN,ENGLAND,50,5,229,49.4,7,232,1987
PAKISTAN,ENGLAND,55,6,232,53.1,3,233,1987
PAKISTAN,ENGLAND,50,9,166,40.1,5,167,1987
PAKISTAN,ENGLAND,50,9,217,47.2,5,220,1987
PAKISTAN,ENGLAND,50,7,239,48.4,10,221,1987
PAKISTAN,SRI LANKA,50,7,297,50,8,184,1987
PAKISTAN,INDIA,44,6,286,44,9,245,1987
PAKISTAN,ENGLAND,41.3,10,166,44.3,8,167,1987
PAKISTAN,SRI LANKA,50,6,267,49.2,10,252,1987
PAKISTAN,ENGLAND,55,9,213,54.3,9,217,1987
AUSTRALIA,PAKISTAN,45,8,229,45,7,229,1988
WEST INDIES,PAKISTAN,47,9,269,47,7,180,1988
WEST INDIES,PAKISTAN,43,4,244,43,8,227,1988
WEST INDIES,PAKISTAN,46,4,241,46,7,194,1988
WEST INDIES,PAKISTAN,50,6,235,49.4,10,224,1988
WEST INDIES,PAKISTAN,47,4,315,43.3,10,265,1988
PAKISTAN,AUSTRALIA,45.4,10,177,42.2,1,178,1988
PAKISTAN,BANGLADESH,45,3,284,45,6,111,1988
PAKISTAN,WEST INDIES,43,6,271,40.1,3,272,1988
PAKISTAN,WEST INDIES,46,9,166,37.1,5,167,1988
PAKISTAN,WEST INDIES,43,7,221,37,3,225,1988
PAKISTAN,SRI LANKA,44,7,194,38.5,5,195,1988
PAKISTAN,INDIA,42.2,10,142,40.4,6,143,1988
PAKISTAN,INDIA,49.1,10,246,50,8,212,1988
PAKISTAN,WEST INDIES,50,6,294,50,5,210,1988
AUSTRALIA,PAKISTAN,43,4,258,19,7,108,1989
ENGLAND,PAKISTAN,30,7,194,28.3,4,195,1989
INDIA,PAKISTAN,46,4,273,44.4,4,274,1989
NEW ZEALAND,PAKISTAN,49.5,10,249,48.3,3,251,1989
SRI LANKA,PAKISTAN,50,8,244,47.5,3,248,1989
WEST INDIES,PAKISTAN,50,5,273,49.5,6,277,1989
PAKISTAN,WEST INDIES,50,5,223,48.3,4,226,1989
PAKISTAN,WEST INDIES,50,9,140,38.2,3,142,1989
PAKISTAN,NEW ZEALAND,50,6,253,46.5,4,254,1989
PAKISTAN,SRI LANKA,50,6,219,49.2,10,213,1989
PAKISTAN,INDIA,50,7,279,42.3,10,202,1989
PAKISTAN,NEW ZEALAND,50,9,138,39.4,3,139,1989
PAKISTAN,WEST INDIES,50,8,250,48.4,10,239,1989
PAKISTAN,INDIA,47,4,252,47,9,214,1989
PAKISTAN,INDIA,37,8,150,30.2,10,112,1989
PAKISTAN,ENGLAND,50,9,148,43.2,6,149,1989
PAKISTAN,WEST INDIES,50,7,237,44.4,10,180,1989
PAKISTAN,AUSTRALIA,50,9,203,44.5,5,204,1989
PAKISTAN,INDIA,16,9,87,16,9,80,1989
PAKISTAN,SRI LANKA,47,7,222,45.3,7,223,1989
PAKISTAN,AUSTRALIA,50,8,205,43.2,10,139,1989
PAKISTAN,WEST INDIES,50,7,258,40.4,10,203,1989
PAKISTAN,NEW ZEALAND,47,7,170,40.5,3,171,1989
PAKISTAN,SRI LANKA,50,8,237,48.4,10,207,1989
PAKISTAN,AUSTRALIA,49,7,216,46.1,10,178,1989
PAKISTAN,NEW ZEALAND,48,9,170,46.3,2,174,1989
AUSTRALIA,PAKISTAN,50,5,300,39.1,10,233,1990
AUSTRALIA,PAKISTAN,50,6,255,45,10,186,1990
NEW ZEALAND,PAKISTAN,37.4,10,127,29.1,2,128,1990
NEW ZEALAND,PAKISTAN,31.1,10,74,15.4,2,77,1990
SRI LANKA,PAKISTAN,50,5,253,47,5,254,1990
SRI LANKA,PAKISTAN,47.5,10,195,48.3,4,198,1990
WEST INDIES,PAKISTAN,39,7,176,37.1,5,177,1990
PAKISTAN,WEST INDIES,40,5,211,40,7,205,1990
PAKISTAN,SRI LANKA,43,10,170,39.5,4,172,1990
PAKISTAN,SRI LANKA,43,9,181,43,9,131,1990
PAKISTAN,NEW ZEALAND,40,8,196,39.2,10,177,1990
PAKISTAN,SRI LANKA,50,3,315,50,8,288,1990
PAKISTAN,SRI LANKA,50,8,311,47.4,10,221,1990
PAKISTAN,AUSTRALIA,50,7,266,46.5,10,230,1990
PAKISTAN,AUSTRALIA,47.5,10,162,45.5,3,163,1990
PAKISTAN,WEST INDIES,40,9,168,40,7,137,1990
PAKISTAN,AUSTRALIA,50,10,161,41,3,162,1990
PAKISTAN,NEW ZEALAND,40,2,223,25,10,118,1990
PAKISTAN,INDIA,50,9,235,46.3,10,209,1990
PAKISTAN,AUSTRALIA,49,8,220,49,9,218,1990
INDIA,PAKISTAN,50,4,238,44.4,10,178,1991
WEST INDIES,PAKISTAN,34,6,170,33.5,10,146,1991
WEST INDIES,PAKISTAN,39,5,186,39,9,186,1991
WEST INDIES,PAKISTAN,40,5,204,40,8,187,1991
PAKISTAN,INDIA,50,7,257,50,6,253,1991
PAKISTAN,WEST INDIES,50,7,236,50,10,235,1991
PAKISTAN,WEST INDIES,48.3,10,215,47.3,9,217,1991
PAKISTAN,INDIA,50,6,262,46,10,190,1991
AUSTRALIA,PAKISTAN,50,7,228,50,9,228,1992
ENGLAND,PAKISTAN,55,6,278,54.2,10,199,1992
ENGLAND,PAKISTAN,55,7,363,46.1,10,165,1992
ENGLAND,PAKISTAN,55,5,302,50.5,10,263,1992
INDIA,PAKISTAN,49,7,216,48.1,10,173,1992
NEW ZEALAND,PAKISTAN,50,7,262,49,6,264,1992
NEW ZEALAND,PAKISTAN,48.2,10,166,44.4,3,167,1992
SOUTH AFRICA,PAKISTAN,50,7,211,36,8,173,1992
SRI LANKA,PAKISTAN,40,6,155,36.5,2,157,1992
SRI LANKA,PAKISTAN,50,6,212,49.1,6,216,1992
WEST INDIES,PAKISTAN,50,9,197,49.2,5,199,1992
WEST INDIES,PAKISTAN,50,9,214,48,10,81,1992
WEST INDIES,PAKISTAN,42,7,177,41.5,10,173,1992
PAKISTAN,AUSTRALIA,47,6,195,45,2,196,1992
PAKISTAN,ENGLAND,55,5,254,43.4,4,255,1992
PAKISTAN,AUSTRALIA,50,9,220,45.2,10,172,1992
PAKISTAN,ENGLAND,50,5,204,49.2,10,201,1992
PAKISTAN,ZIMBABWE,50,4,254,50,7,201,1992
PAKISTAN,SRI LANKA,40,4,271,38.4,10,154,1992
PAKISTAN,NEW ZEALAND,47.4,10,139,42.4,4,140,1992
PAKISTAN,SRI LANKA,40,5,205,39.4,6,206,1992
PAKISTAN,NEW ZEALAND,42,8,136,37.4,4,137,1992
PAKISTAN,ENGLAND,40.2,10,74,8,1,24,1992
PAKISTAN,NEW ZEALAND,49,8,158,39.3,10,108,1992
PAKISTAN,SRI LANKA,40,3,241,40,9,182,1992
PAKISTAN,WEST INDIES,50,2,220,46.5,0,221,1992
PAKISTAN,SRI LANKA,40,5,210,36.1,9,181,1992
PAKISTAN,ENGLAND,50,6,249,49.2,10,227,1992
AUSTRALIA,PAKISTAN,50,8,260,50,6,237,1993
AUSTRALIA,PAKISTAN,50,6,212,50,7,180,1993
SRI LANKA,PAKISTAN,50,6,270,49.4,8,271,1993
SRI LANKA,PAKISTAN,46,9,180,40.2,2,181,1993
WEST INDIES,PAKISTAN,50,7,267,50,9,228,1993
WEST INDIES,PAKISTAN,45,4,259,43.1,3,261,1993
WEST INDIES,PAKISTAN,50,5,268,46.5,10,144,1993
WEST INDIES,PAKISTAN,50,9,260,49,5,261,1993
ZIMBABWE,PAKISTAN,38,10,143,33.5,3,147,1993
ZIMBABWE,PAKISTAN,49.1,10,164,47.2,3,165,1993
ZIMBABWE,PAKISTAN,40,5,195,39.4,4,196,1993
PAKISTAN,WEST INDIES,41.5,10,150,25.1,2,109,1993
PAKISTAN,WEST INDIES,19.5,10,43,12.3,3,45,1993
PAKISTAN,WEST INDIES,45,7,194,41,5,196,1993
PAKISTAN,WEST INDIES,50,9,186,44.3,10,148,1993
PAKISTAN,SOUTH AFRICA,50,6,214,30.1,10,162,1993
PAKISTAN,ZIMBABWE,40,4,216,40,9,141,1993
PAKISTAN,SOUTH AFRICA,50,8,220,50,9,198,1993
PAKISTAN,WEST INDIES,50,6,223,44,6,224,1993
PAKISTAN,WEST INDIES,50,6,244,50,5,244,1993
PAKISTAN,WEST INDIES,50,10,187,39.4,5,190,1993
PAKISTAN,WEST INDIES,23.4,10,71,19.2,1,72,1993
PAKISTAN,ZIMBABWE,50,8,262,50,6,213,1993
PAKISTAN,SOUTH AFRICA,50,6,208,50,10,198,1993
PAKISTAN,SRI LANKA,41,3,281,41,7,167,1993
PAKISTAN,SRI LANKA,50,3,313,50,7,199,1993
PAKISTAN,WEST INDIES,50,4,284,45.3,4,285,1993
AUSTRALIA,PAKISTAN,50,5,269,46.5,10,205,1994
AUSTRALIA,PAKISTAN,50,7,179,50,9,151,1994
AUSTRALIA,PAKISTAN,50,6,250,39,1,251,1994
INDIA,PAKISTAN,46.3,10,219,44.3,4,223,1994
NEW ZEALAND,PAKISTAN,49.4,10,201,46.2,5,206,1994
NEW ZEALAND,PAKISTAN,47.4,10,172,38.5,5,175,1994
NEW ZEALAND,PAKISTAN,30,9,122,26.1,5,123,1994
SOUTH AFRICA,PAKISTAN,50,9,163,44.4,2,166,1994
SOUTH AFRICA,PAKISTAN,50,8,206,35,2,208,1994
SOUTH AFRICA,PAKISTAN,50,4,222,44.3,4,223,1994
SRI LANKA,PAKISTAN,50,6,200,30.2,1,169,1994
SRI LANKA,PAKISTAN,50,9,174,41.4,5,175,1994
SRI LANKA,PAKISTAN,50,5,238,47.5,4,239,1994
UNITED ARAB EMIRATES,PAKISTAN,49.5,10,145,23.1,1,146,1994
PAKISTAN,NEW ZEALAND,50,9,161,49.4,10,161,1994
PAKISTAN,NEW ZEALAND,43.3,10,146,44.3,10,110,1994
PAKISTAN,NEW ZEALAND,50,9,145,34.1,3,146,1994
PAKISTAN,SRI LANKA,50,8,180,47.2,3,181,1994
PAKISTAN,SRI LANKA,50,6,210,47.2,3,213,1994
PAKISTAN,SRI LANKA,50,9,245,50,9,233,1994
PAKISTAN,SRI LANKA,50,7,237,49,10,218,1994
PAKISTAN,SOUTH AFRICA,49.1,10,214,45.4,3,215,1994
PAKISTAN,NEW ZEALAND,50,2,328,50,7,266,1994
PAKISTAN,INDIA,50,6,250,47.4,10,211,1994
PAKISTAN,SRI LANKA,49.5,10,187,48.1,10,160,1994
PAKISTAN,SOUTH AFRICA,50,6,249,50,5,210,1994
PAKISTAN,AUSTRALIA,50,8,200,46,3,201,1994
PAKISTAN,NEW ZEALAND,48,6,213,48,8,202,1994
BANGLADESH,PAKISTAN,50,8,151,29.4,4,152,1995
NEW ZEALAND,PAKISTAN,45,8,244,41.4,10,212,1995
SOUTH AFRICA,PAKISTAN,50,5,266,32.3,10,109,1995
SOUTH AFRICA,PAKISTAN,49.3,10,215,42.5,10,178,1995
